stop_sequence,stop_id,schedule_relationship,arrival_delay,arrival_time,arrival_uncertainty,departure_delay,departure_time,departure_uncertainty
1,320860,SCHEDULED,0,0,0,0,0,0
2,300342,SCHEDULED,7,1658406847,30,7,1658406847,30
3,300337,SCHEDULED,51,1658406891,30,51,1658406891,30
4,300343,SCHEDULED,25,1658406925,30,25,1658406925,30
5,300338,SCHEDULED,50,1658406950,30,50,1658406950,30
6,300344,SCHEDULED,24,1658406984,30,24,1658406984,30
7,300341,SCHEDULED,53,1658407013,30,53,1658407013,30
8,300339,SCHEDULED,28,1658407048,30,28,1658407048,30
9,300340,SCHEDULED,60,1658407080,30,60,1658407080,30
10,300366,SCHEDULED,75,1658407155,30,75,1658407155,30
11,300367,SCHEDULED,47,1658407187,30,47,1658407187,30
12,300368,SCHEDULED,87,1658407227,30,87,1658407227,30
13,300364,SCHEDULED,70,1658407270,30,70,1658407270,30
14,300365,SCHEDULED,102,1658407302,30,102,1658407302,30
15,300179,SCHEDULED,79,1658407339,30,79,1658407339,30
16,300174,SCHEDULED,56,1658407376,30,56,1658407376,30
17,300175,SCHEDULED,77,1658407397,30,77,1658407397,30
18,300176,SCHEDULED,38,1658407418,30,38,1658407418,30
19,300018,SCHEDULED,85,1658407465,30,85,1658407465,30
20,300182,SCHEDULED,90,1658407530,30,90,1658407530,30
21,300177,SCHEDULED,84,1658407584,30,84,1658407584,30
22,300421,SCHEDULED,58,1658407618,30,58,1658407618,30
23,300422,SCHEDULED,41,1658407661,30,41,1658407661,30
24,300423,SCHEDULED,64,1658407684,30,64,1658407684,30
25,300424,SCHEDULED,40,1658407720,30,40,1658407720,30
26,300425,SCHEDULED,65,1658407745,30,65,1658407745,30
27,300426,SCHEDULED,42,1658407782,30,42,1658407782,30
28,300427,SCHEDULED,61,1658407801,30,61,1658407801,30
29,300428,SCHEDULED,36,1658407836,30,36,1658407836,30
30,300429,SCHEDULED,75,1658407875,30,75,1658407875,30
31,300430,SCHEDULED,106,1658407906,30,106,1658407906,30
32,300431,SCHEDULED,87,1658407947,30,87,1658407947,30
33,300432,SCHEDULED,65,1658407985,30,65,1658407985,30
34,300242,SCHEDULED,101,1658408021,30,101,1658408021,30
35,300248,SCHEDULED,77,1658408117,30,77,1658408117,30
36,300589,SCHEDULED,117,1658408157,30,117,1658408157,30
37,300583,SCHEDULED,80,1658408180,30,80,1658408180,30
38,300584,SCHEDULED,125,1658408225,30,125,1658408225,30
39,300581,SCHEDULED,121,1658408281,30,121,1658408281,30
40,300126,SCHEDULED,107,1658408327,30,107,1658408327,30
41,300127,SCHEDULED,143,1658408363,30,143,1658408363,30
42,300132,SCHEDULED,116,1658408396,30,116,1658408396,30
43,300129,SCHEDULED,98,1658408438,30,98,1658408438,30
44,300007,SCHEDULED,77,1658408477,30,77,1658408477,30
45,300130,SCHEDULED,103,1658408503,30,103,1658408503,30
46,300131,SCHEDULED,68,1658408528,30,68,1658408528,30
47,300226,SCHEDULED,71,1658408591,30,71,1658408591,30
48,300227,SCHEDULED,99,1658408619,30,99,1658408619,30
49,300222,SCHEDULED,85,1658408665,30,85,1658408665,30
50,300223,SCHEDULED,80,1658408720,30,80,1658408720,30
51,300218,SCHEDULED,63,1658408763,30,63,1658408763,30
52,300219,SCHEDULED,104,1658408804,30,104,1658408804,30
53,300003,SCHEDULED,104,1658408924,30,104,1658408924,30
35,300248,SCHEDULED,-12,1658405328,30,-12,1658405328,30
36,300589,SCHEDULED,33,1658405373,30,33,1658405373,30
37,300583,SCHEDULED,-5,1658405395,30,-5,1658405395,30
38,300584,SCHEDULED,40,1658405440,30,40,1658405440,30
39,300581,SCHEDULED,37,1658405497,30,37,1658405497,30
40,300126,SCHEDULED,23,1658405543,30,23,1658405543,30
41,300127,SCHEDULED,59,1658405579,30,59,1658405579,30
42,300132,SCHEDULED,32,1658405612,30,32,1658405612,30
43,300129,SCHEDULED,14,1658405654,30,14,1658405654,30
44,300007,SCHEDULED,-7,1658405693,30,-7,1658405693,30
45,300130,SCHEDULED,18,1658405718,30,18,1658405718,30
46,300131,SCHEDULED,-16,1658405744,30,-16,1658405744,30
47,300226,SCHEDULED,-13,1658405807,30,-13,1658405807,30
48,300227,SCHEDULED,15,1658405835,30,15,1658405835,30
49,300222,SCHEDULED,1,1658405881,30,1,1658405881,30
50,300223,SCHEDULED,-4,1658405936,30,-4,1658405936,30
51,300218,SCHEDULED,-21,1658405979,30,-21,1658405979,30
52,300219,SCHEDULED,20,1658406020,30,20,1658406020,30
53,300003,SCHEDULED,28,1658406148,30,104,1658406148,30
8,300339,SCHEDULED,42,1658405262,30,72,1658405262,30
9,300340,SCHEDULED,93,1658405313,30,102,1658405313,30
10,300366,SCHEDULED,108,1658405388,30,108,1658405388,30
11,300367,SCHEDULED,79,1658405419,30,79,1658405419,30
12,300368,SCHEDULED,119,1658405459,30,119,1658405459,30
13,300364,SCHEDULED,102,1658405502,30,102,1658405502,30
14,300365,SCHEDULED,134,1658405534,30,134,1658405534,30
15,300179,SCHEDULED,111,1658405571,30,111,1658405571,30
16,300174,SCHEDULED,88,1658405608,30,88,1658405608,30
17,300175,SCHEDULED,109,1658405629,30,109,1658405629,30
18,300176,SCHEDULED,70,1658405650,30,70,1658405650,30
19,300018,SCHEDULED,117,1658405697,30,117,1658405697,30
20,300182,SCHEDULED,122,1658405762,30,122,1658405762,30
21,300177,SCHEDULED,116,1658405816,30,116,1658405816,30
22,300421,SCHEDULED,90,1658405850,30,90,1658405850,30
23,300422,SCHEDULED,73,1658405893,30,73,1658405893,30
24,300423,SCHEDULED,96,1658405916,30,96,1658405916,30
25,300424,SCHEDULED,72,1658405952,30,72,1658405952,30
26,300425,SCHEDULED,97,1658405977,30,97,1658405977,30
27,300426,SCHEDULED,74,1658406014,30,74,1658406014,30
28,300427,SCHEDULED,93,1658406033,30,93,1658406033,30
29,300428,SCHEDULED,68,1658406068,30,68,1658406068,30
30,300429,SCHEDULED,108,1658406108,30,108,1658406108,30
31,300430,SCHEDULED,138,1658406138,30,138,1658406138,30
32,300431,SCHEDULED,119,1658406179,30,119,1658406179,30
33,300432,SCHEDULED,97,1658406217,30,97,1658406217,30
34,300242,SCHEDULED,133,1658406253,30,133,1658406253,30
35,300248,SCHEDULED,110,1658406350,30,110,1658406350,30
36,300589,SCHEDULED,149,1658406389,30,149,1658406389,30
37,300583,SCHEDULED,112,1658406412,30,112,1658406412,30
38,300584,SCHEDULED,157,1658406457,30,157,1658406457,30
39,300581,SCHEDULED,154,1658406514,30,154,1658406514,30
40,300126,SCHEDULED,139,1658406559,30,139,1658406559,30
41,300127,SCHEDULED,175,1658406595,30,175,1658406595,30
42,300132,SCHEDULED,148,1658406628,30,148,1658406628,30
43,300129,SCHEDULED,130,1658406670,30,130,1658406670,30
44,300007,SCHEDULED,109,1658406709,30,109,1658406709,30
45,300130,SCHEDULED,135,1658406735,30,135,1658406735,30
46,300131,SCHEDULED,100,1658406760,30,100,1658406760,30
47,300226,SCHEDULED,104,1658406824,30,104,1658406824,30
